CEE #,CEE Type,CEE Source Vessel,Focal animals,Date,CEE Times,Lat,Lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19-01 (START),simulated_mfas,Hog Wild,Zc82; Zc83,5/15/19,15:04:50,35.402470,-74.755902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19-01 (END),simulated_mfas,Hog Wild,Zc82; Zc83,5/15/19,15:11:15,35.406880,-74.748435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19-02 (START),simulated_mfas,Kahuna,Zc89; Zc86,6/7/19,15:13:09,35.423072,-74.806143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19-02 (END),simulated_mfas,Kahuna,Zc89; Zc86,6/7/19,15:43:09,35.498130,-74.776073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19_03 (START),simulated_mfas,Kahuna,Zc19_218a; Zc93,8/6/19,17:37:43,35.597300,-74.760180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19_03 (END),simulated_mfas,Kahuna,Zc19_218a; Zc93,8/6/19,18:07:43,35.609550,-74.750630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19_04 (START),simulated_mfas,Kahuna,Zc95; Zc96; Zc97,8/19/19,19:11:00,35.787980,-74.775750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE #19_04 (END),simulated_mfas,Kahuna,Zc95; Zc96; Zc97   ,8/19/19,19:41:00,35.801730,-74.763427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,